ApplianceIronNumber,ApplianceIronNumber                                                                                                                                                                                                                                            ,Number
ApplianceGeyserNumber,ApplianceGeyserNumber                                                                                                                                                                                                                                          ,Number
ApplianceWashingMachineNumber,ApplianceWashingMachineNumber                                                                                                                                                                                                                                  ,Number
ApplianceTVNumber,ApplianceTVNumber                                                                                                                                                                                                                                              ,Number
ApplianceHiFiRadioNumber,ApplianceHiFiRadioNumber                                                                                                                                                                                                                                       ,Number
ApplianceLightsNumber,ApplianceLightsNumber                                                                                                                                                                                                                                          ,Number
ApplianceFridgeFreezerNumber,ApplianceFridgeFreezerNumber                                                                                                                                                                                                                                   ,Number
ApplianceDeepFreezeNumber,ApplianceDeepFreezeNumber                                                                                                                                                                                                                                      ,Number
ApplianceMicrowaveNumber,ApplianceMicrowaveNumber                                                                                                                                                                                                                                       ,Number
ApplianceTumbleDrierNumber,ApplianceTumbleDrierNumber                                                                                                                                                                                                                                     ,Number
ApplianceOtherNumber,ApplianceOtherNumber                                                                                                                                                                                                                                           ,Number
ApplianceStove3plateBroken,ApplianceStove3plateBroken                                                                                                                                                                                                                                     ,Number
ApplianceStove4plateBroken,ApplianceStove4plateBroken                                                                                                                                                                                                                                     ,Number
ApplianceHotplateBroken,ApplianceHotplateBroken                                                                                                                                                                                                                                        ,Number
ApplianceHeaterBroken,ApplianceHeaterBroken                                                                                                                                                                                                                                          ,Number
ApplianceKettleBroken,ApplianceKettleBroken                                                                                                                                                                                                                                          ,Number
ApplianceIronBroken,ApplianceIronBroken                                                                                                                                                                                                                                            ,Number
ApplianceGeyserBroken,ApplianceGeyserBroken                                                                                                                                                                                                                                          ,Number
ApplianceWashingMachineBroken,ApplianceWashingMachineBroken                                                                                                                                                                                                                                  ,Number
ApplianceMicrowaveBroken,ApplianceMicrowaveBroken                                                                                                                                                                                                                                       ,Number
ApplianceTumbleDrierBroken,ApplianceTumbleDrierBroken                                                                                                                                                                                                                                     ,Number
ApplianceOtherBroken,ApplianceOtherBroken                                                                                                                                                                                                                                           ,Number
ApplianceStove3plateUsage,ApplianceStove3plateUsage                                                                                                                                                                                                                                      ,Number
ApplianceStove4plateUsage,ApplianceStove4plateUsage                                                                                                                                                                                                                                      ,Number
ApplianceHotplateUsage,ApplianceHotplateUsage                                                                                                                                                                                                                                         ,Number
ApplianceHeaterUsage,ApplianceHeaterUsage                                                                                                                                                                                                                                           ,Number
ApplianceKettleUsage,ApplianceKettleUsage                                                                                                                                                                                                                                           ,Number
ApplianceIronUsage,ApplianceIronUsage                                                                                                                                                                                                                                             ,Number
ApplianceGeyserUsage,ApplianceGeyserUsage                                                                                                                                                                                                                                           ,Number
ApplianceWashingMachineUsage,ApplianceWashingMachineUsage                                                                                                                                                                                                                                   ,Number
ApplianceMicrowaveUsage,ApplianceMicrowaveUsage                                                                                                                                                                                                                                        ,Number
ApplianceTumbleDrierUsage,ApplianceTumbleDrierUsage                                                                                                                                                                                                                                      ,Number
ApplianceOtherUsage,ApplianceOtherUsage                                                                                                                                                                                                                                            ,Number
